Title,Description,Priority,Status,Assignee,Created,Completed,Labels,Estimate
CTI-001A — Supabase coffee_tours core tables + RLS,"**Task ID:** `CTI-001A`
**Spec:** `tasks/agent/tasks/CTI-001A-coffee-tour-core-schema.md`
**Repo status:** Open
**Priority:** P0
**Phase:** CTI-A
**Depends on:** F08
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:agent, phase-1",
CTI-001B — coffee_tour_search_logs + coffee_tour_cache,"**Task ID:** `CTI-001B`
**Spec:** `tasks/agent/tasks/CTI-001B-coffee-tour-logs-cache.md`
**Repo status:** Open
**Priority:** P1
**Phase:** CTI-A
**Depends on:** CTI-001A
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:agent, phase-1",
CTI-002 — CoffeeTour types + Zod schemas,"**Task ID:** `CTI-002`
**Spec:** `tasks/agent/tasks/CTI-002-coffee-tour-types.md`
**Repo status:** Open
**Priority:** P0
**Phase:** CTI-A
**Depends on:** CTI-001A
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:agent, phase-1",
CTI-003 — Seed 5 verified coffee tours,"**Task ID:** `CTI-003`
**Spec:** `tasks/agent/tasks/CTI-003-seed-coffee-tours.md`
**Repo status:** Open
**Priority:** P0
**Phase:** CTI-A
**Depends on:** CTI-001A
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:agent, phase-1",
CTI-004 — Concierge tour intent + searchCoffeeTours tool,"**Task ID:** `CTI-004`
**Spec:** `tasks/agent/tasks/CTI-004-search-coffee-tours-tool.md`
**Repo status:** Open
**Priority:** P0
**Phase:** CTI-A
**Depends on:** CTI-002, CTI-003, CTI-006, MAP-002, MAP-018C
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:agent, phase-1",
CTI-005 — Places API enrich for coffee tour rows,"**Task ID:** `CTI-005`
**Spec:** `tasks/agent/tasks/CTI-005-mvp-places-enrich-tours.md`
**Repo status:** Open
**Priority:** P1
**Phase:** CTI-A
**Depends on:** CTI-003, MAP-018B, MAP-004
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:agent, phase-1",
CTI-006 — rankCoffeeTours scoring function,"**Task ID:** `CTI-006`
**Spec:** `tasks/agent/tasks/CTI-006-rank-coffee-tours.md`
**Repo status:** Open
**Priority:** P1
**Phase:** CTI-A
**Depends on:** CTI-002, CTI-003, F50b
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:agent, phase-1",
CTI-007 — CoffeeTourCard + CopilotKit tool render,"**Task ID:** `CTI-007`
**Spec:** `tasks/agent/tasks/CTI-007-coffee-tour-card-ui.md`
**Repo status:** Open
**Priority:** P0
**Phase:** CTI-A
**Depends on:** CTI-004, CTI-006, CTI-003, MAP-018F, MAP-019
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:agent, phase-1",
CTI-008 — Map pins + results column for coffee tours,"**Task ID:** `CTI-008`
**Spec:** `tasks/agent/tasks/CTI-008-map-pins-tours.md`
**Repo status:** Open
**Priority:** P1
**Phase:** CTI-A
**Depends on:** CTI-007, MAP-030, MAP-031, F50, F50b
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:agent, phase-1",
CTI-009 — smoke:coffee-tours script,"**Task ID:** `CTI-009`
**Spec:** `tasks/agent/tasks/CTI-009-smoke-coffee-tours.md`
**Repo status:** Open
**Priority:** P1
**Phase:** CTI-A
**Depends on:** CTI-007, CTI-008
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:agent, phase-1",
